"област","община","населено място","брой население по ПА","брой население по НА"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","9248","8668"
"БЛАГОЕВГРАД","БАНСКО","С.ГОСТУН","30","44"
"БЛАГОЕВГРАД","БАНСКО","ГР.ДОБРИНИЩЕ","2789","2575"
"БЛАГОЕВГРАД","БАНСКО","С.КРЕМЕН","145","150"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","217","208"
"БЛАГОЕВГРАД","БАНСКО","С.ОБИДИМ","74","86"
"БЛАГОЕВГРАД","БАНСКО","С.ОСЕНОВО","42","50"
"БЛАГОЕВГРАД","БАНСКО","С.ФИЛИПОВО","662","622"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","759","719"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","3326","3039"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЗЛАТАРИЦА","78","85"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГЪЛЪБОВО","34","36"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ДАГОНОВО","784","726"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","2644","2464"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КУЗЬОВО","260","242"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЛЮТОВО","219","217"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ОРЦЕВО","161","153"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ПАЛАТИК","217","203"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","1260","1184"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ЧЕРЕШОВО","277","248"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ИЗГРЕВ","733","591"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БЕЛО ПОЛЕ","8890","615"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БИСТРИЦА","600","57"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","81284","72872"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БУЧИНО","131","49"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.БЪЛГАРЧЕВО","594","370"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ГАБРОВО","799","36"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ГОРНО ХЪРСОВО","543","77"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЕБОЧИЦА","57","27"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЕЛВИНО","593","114"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДРЕНКОВО","53","72"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ДЪБРАВА","622","143"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЕЛЕНОВО","536","190"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЗЕЛЕНДОЛ","217","189"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.КЛИСУРА","19","27"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЛЕШКО","1379","197"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЛИСИЯ","8","7"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.МАРУЛЕВО","556","74"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.МОЩАНЕЦ","24","49"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ОБЕЛ","36","50"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ПАДЕШ","523","526"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ПОКРОВНИК","3460","894"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.РИЛЦИ","5430","798"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.СЕЛИЩЕ","267","281"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЛОГОДАЖ","4900","284"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","С.ЦЕРОВО","723","690"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БАНИЧАН","590","543"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","1148","1044"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","3862","3437"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","1109","961"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ГОСПОДИНЦИ","523","508"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","21854","19979"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ДЕЛЧЕВО","36","27"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ДОБРОТИНО","27","32"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.КОРНИЦА","2344","1631"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ЛЪЖНИЦА","2068","1651"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.МОСОМИЩЕ","2156","2090"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ПОПОВИ ЛИВАДИ","0","0"
"БЛАГОЕВГРАД","ГЪРМЕН","С.БАЛДЕВО","176","167"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГОРНО ДРЯНОВО","1061","992"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","2143","1858"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЕБРЕН","2597","2372"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","1343","1243"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","2316","1930"
"БЛАГОЕВГРАД","ГЪРМЕН","С.КОВАЧЕВИЦА","49","63"
"БЛАГОЕВГРАД","ГЪРМЕН","С.КРУШЕВО","254","232"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ЛЕЩЕН","4","9"
"БЛАГОЕВГРАД","ГЪРМЕН","С.МАРЧЕВО","136","168"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ОГНЯНОВО","1712","1543"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ОРЕШЕ","207","195"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ОСИКОВО","560","507"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","3088","2735"
"БЛАГОЕВГРАД","ГЪРМЕН","С.СКРЕБАТНО","268","241"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ХВОСТЯНЕ","1401","795"
"БЛАГОЕВГРАД","КРЕСНА","С.ВЛАХИ","6","13"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","3513","3576"
"БЛАГОЕВГРАД","КРЕСНА","С.ГОРНА БРЕЗНИЦА","442","584"
"БЛАГОЕВГРАД","КРЕСНА","С.ДОЛНА ГРАДЕШНИЦА","593","628"
"БЛАГОЕВГРАД","КРЕСНА","С.СТАРА КРЕСНА","45","95"
"БЛАГОЕВГРАД","КРЕСНА","С.ОЩАВА","52","88"
"БЛАГОЕВГРАД","КРЕСНА","С.СЛИВНИЦА","562","611"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.БАСКАЛЦИ","58","49"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.БЕЛАСИЦА","1156","1000"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.БОРОВИЧЕНЕ","42","45"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ВИШЛЕНЕ","45","44"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ВОЛНО","45","9"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ГАБРЕНЕ","949","702"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ГЕГА","219","220"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ГОРЧЕВО","2","3"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ДОЛЕНЕ","14","13"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ДОЛНА КРУШИЦА","160","161"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ДОЛНА РИБНИЦА","385","306"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ДОЛНО СПАНЧЕВО","76","89"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ДРАГУШ","34","40"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ДРАНГОВО","531","474"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ДРЕНОВИЦА","11","11"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ДРЕНОВО","70","75"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ЗОЙЧЕНЕ","40","39"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ИВАНОВО","3","6"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КАВРАКИРОВО","1629","1579"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КАМЕНА","302","261"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КАПАТОВО","139","173"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КЛАДЕНЦИ","33","31"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КЛЮЧ","985","773"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","2031","1839"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КРОМИДОВО","103","121"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КРЪНДЖИЛИЦА","6","5"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КУКУРАХЦЕВО","44","42"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КУЛАТА","769","721"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КЪРНАЛОВО","1726","1595"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МАРИКОСТИНОВО","1217","1189"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МАРИНО ПОЛЕ","306","252"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МЕНДОВО","101","81"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МИТИНО","417","314"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МИХНЕВО","1045","962"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.РУПИТЕ","1030","969"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.НОВО КОНОМЛАДИ","120","122"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","40280","29625"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПРАВО БЪРДО","46","44"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ГЕНЕРАЛ ТОДОРОВ","654","598"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","3694","3292"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.РИБНИК","129","129"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.РЪЖДАК","256","269"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.САМУИЛОВА КРЕПОСТ","0","0"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.САМУИЛОВО","872","843"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.БОГОРОДИЦА","37","12"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.СКРЪТ","1400","915"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.СТАРЧЕВО","527","523"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.СТРУМЕШНИЦА","386","311"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ТОНСКО ДАБЕ","1","3"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ТОПОЛНИЦА","710","656"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ЧУРИЛОВО","36","33"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ЧУРИЧЕНИ","135","126"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ЧУЧУЛИГОВО","172","176"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ЯВОРНИЦА","995","786"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ЯКОВО","58","72"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАНЯ","2887","2869"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАЧЕВО","1576","1535"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ГОДЛЕВО","496","471"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ГОРНО ДРАГЛИЩЕ","881","852"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ДОБЪРСКО","578","541"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ДОЛНО ДРАГЛИЩЕ","593","654"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ЕЛЕШНИЦА","1323","1246"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","13042","12370"
"БЛАГОЕВГРАД","САНДАНСКИ","С.БЕЛЕВЕХЧЕВО","0","6"
"БЛАГОЕВГРАД","САНДАНСКИ","С.БЕЛЬОВО","1","0"
"БЛАГОЕВГРАД","САНДАНСКИ","С.БОЖДОВО","2","6"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ВИНОГРАДИ","45","44"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ВИХРЕН","3","0"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ВРАНЯ","97","108"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ВЪЛКОВО","421","392"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ГОЛЕМ ЦАЛИМ","10","16"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ГОЛЕШОВО","22","30"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ГОРНА СУШИЦА","19","20"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ГОРНО СПАНЧЕВО","66","66"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ДАМЯНИЦА","1252","1264"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ДЕБРЕНЕ","27","39"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ДЖИГУРОВО","698","705"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЗОРНИЦА","73","90"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ДОЛЕНИ","4","7"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЗЛАТОЛИСТ","10","9"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КАЛИМАНЦИ","175","156"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КАТУНЦИ","1200","1137"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КАШИНА","3","9"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КОВАЧЕВО","10","30"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КРЪСТИЛЦИ","8","12"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КЪРЛАНОВО","37","31"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛАДАРЕВО","20","30"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛАСКАРЕВО","162","152"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛЕБНИЦА","382","376"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛЕВУНОВО","582","630"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛЕХОВО","4","3"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛЕШНИЦА","776","683"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛИЛЯНОВО","252","220"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛОЗЕНИЦА","63","60"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛЮБОВИЩЕ","12","17"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЛЮБОВКА","18","27"
"БЛАГОЕВГРАД","САНДАНСКИ","С.МАЛКИ ЦАЛИМ","4","5"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.МЕЛНИК","185","239"
"БЛАГОЕВГРАД","САНДАНСКИ","С.НОВО ДЕЛЧЕВО","1081","988"
"БЛАГОЕВГРАД","САНДАНСКИ","С.НОВО ХОДЖОВО","46","44"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ПЕТРОВО","437","434"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ПИПЕРИЦА","10","9"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ПИРИН","159","134"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ПЛОСКИ","541","645"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ПОЛЕНИЦА","1276","1216"
"БЛАГОЕВГРАД","САНДАНСКИ","С.РОЖЕН","10","11"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","30350","27223"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СКЛАВЕ","1402","1381"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СПАТОВО","81","101"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СТОЖА","33","67"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СТРУМА","574","533"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СУГАРЕВО","12","15"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ХОТОВО","84","94"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ХРАСНА","0","8"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ХЪРСОВО","171","178"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЧЕРЕШНИЦА","29","36"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ЯНОВО","119","109"
"БЛАГОЕВГРАД","САТОВЧА","С.БОГОЛИН","475","426"
"БЛАГОЕВГРАД","САТОВЧА","С.ВАКЛИНОВО","1288","1047"
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","2774","2353"
"БЛАГОЕВГРАД","САТОВЧА","С.ГОДЕШЕВО","926","786"
"БЛАГОЕВГРАД","САТОВЧА","С.ДОЛЕН","381","351"
"БЛАГОЕВГРАД","САТОВЧА","С.ЖИЖЕВО","360","344"
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","3438","2777"
"БЛАГОЕВГРАД","САТОВЧА","С.КРИБУЛ","391","335"
"БЛАГОЕВГРАД","САТОВЧА","С.ОСИНА","612","536"
"БЛАГОЕВГРАД","САТОВЧА","С.ПЛЕТЕНА","1976","1730"
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","2427","1891"
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","2317","1842"
"БЛАГОЕВГРАД","САТОВЧА","С.ТУХОВИЩА","883","789"
"БЛАГОЕВГРАД","САТОВЧА","С.ФЪРГОВО","476","466"
"БЛАГОЕВГРАД","СИМИТЛИ","С.БРЕЖАНИ","752","726"
"БЛАГОЕВГРАД","СИМИТЛИ","С.БРЕСТОВО","6","11"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ГОРНО ОСЕНОВО","3","3"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ГРАДЕВО","138","175"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ДОКАТИЧЕВО","2","2"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ДОЛНО ОСЕНОВО","1595","1525"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ЖЕЛЕЗНИЦА","297","319"
"БЛАГОЕВГРАД","СИМИТЛИ","С.СУШИЦА","34","43"
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","2196","2112"
"БЛАГОЕВГРАД","СИМИТЛИ","С.МЕЧКУЛ","11","36"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ПОЛЕНА","699","676"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ПОЛЕТО","634","621"
"БЛАГОЕВГРАД","СИМИТЛИ","С.РАКИТНА","85","101"
"БЛАГОЕВГРАД","СИМИТЛИ","С.СЕНОКОС","26","34"
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","7313","6965"
"БЛАГОЕВГРАД","СИМИТЛИ","С.СУХОСТРЕЛ","1","4"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ТРОСКОВО","3","10"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ЧЕРНИЧЕ","1072","1011"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ВЕЛЮЩЕЦ","2","2"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ВРАКУПОВИЦА","9","6"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ГОРЕМЕ","60","60"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ГОРНА КРУШИЦА","38","57"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ГОРНА РИБНИЦА","3","3"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ДОБРИ ЛАКИ","137","120"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ДРАКАТА","148","132"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ИГРАЛИЩЕ","245","212"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ИЛИНДЕНЦИ","754","734"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.КАМЕНИЦА","85","105"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.КЛЕПАЛО","28","26"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.КОЛИБИТЕ","3","4"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.КЪРПЕЛЕВО","27","21"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.МАХАЛАТА","26","26"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.МИКРЕВО","2389","2316"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.НИКУДИН","67","83"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ПАЛАТ","25","34"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.РАЗДОЛ","161","163"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.СЕДЕЛЕЦ","19","20"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.СТРУМЯНИ","845","817"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.ЦАПАРЕВО","123","123"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","2850","2576"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.БЕСЛЕН","726","683"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.БЛАТСКА","843","647"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.ГАЙТАНИНОВО","42","54"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.ИЛИНДЕН","68","101"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.КОПРИВЛЕН","1287","1287"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.ЛЪКИ","30","55"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.НОВА ЛОВЧА","47","55"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.НОВО ЛЕСКИ","395","353"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.ПАРИЛ","3","6"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.ПЕТРЕЛИК","154","149"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.САДОВО","397","401"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.ТЕПЛЕН","474","461"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.ТЕШОВО","135","134"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","2818","2597"
"БЛАГОЕВГРАД","ЯКОРУДА","С.АВРАМОВО","720","661"
"БЛАГОЕВГРАД","ЯКОРУДА","С.БЕЛ КАМЕН","559","527"
"БЛАГОЕВГРАД","ЯКОРУДА","С.БУНЦЕВО","508","517"
"БЛАГОЕВГРАД","ЯКОРУДА","С.СМОЛЕВО","548","506"
"БЛАГОЕВГРАД","ЯКОРУДА","С.КОНАРСКО","945","862"
"БЛАГОЕВГРАД","ЯКОРУДА","С.ЧЕРНА МЕСТА","413","408"
"БЛАГОЕВГРАД","ЯКОРУДА","С.ЮРУКОВО","1193","1161"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","5740","5266"
"БУРГАС","АЙТОС","ГР.АЙТОС","24488","22255"
"БУРГАС","АЙТОС","С.ДРЯНКОВЕЦ","200","212"
"БУРГАС","АЙТОС","С.ЗЕТЬОВО","328","253"
"БУРГАС","АЙТОС","С.КАРАГЕОРГИЕВО","1741","1356"
"БУРГАС","АЙТОС","С.КАРАНОВО","894","899"
"БУРГАС","АЙТОС","С.ЛЯСКОВО","74","154"
"БУРГАС","АЙТОС","С.МАЛКА ПОЛЯНА","666","402"
"БУРГАС","АЙТОС","С.МЪГЛЕН","1601","1300"
"БУРГАС","АЙТОС","С.ПЕЩЕРСКО","985","693"
"БУРГАС","АЙТОС","С.ПИРНЕ","591","803"
"БУРГАС","АЙТОС","С.ПОЛЯНОВО","490","373"
"БУРГАС","АЙТОС","С.РАКЛИНОВО","153","142"
"БУРГАС","АЙТОС","С.СЪДИЕВО","294","405"
"БУРГАС","АЙТОС","С.ТОПОЛИЦА","1038","938"
"БУРГАС","АЙТОС","С.ЧЕРНА МОГИЛА","489","361"
"БУРГАС","АЙТОС","С.ЧЕРНОГРАД","659","578"
"БУРГАС","АЙТОС","С.ЧУКАРКА","779","678"
"БУРГАС","БУРГАС","С.БРАТОВО","94","123"
"БУРГАС","БУРГАС","С.БРЯСТОВЕЦ","213","430"
"БУРГАС","БУРГАС","ГР.БУРГАС","223042","207196"
"БУРГАС","БУРГАС","ГР.БЪЛГАРОВО","1912","1944"
"БУРГАС","БУРГАС","С.ДИМЧЕВО","130","201"
"БУРГАС","БУРГАС","С.ДРАГАНОВО","515","442"
"БУРГАС","БУРГАС","С.ИЗВОР","412","598"
"БУРГАС","БУРГАС","С.ИЗВОРИЩЕ","446","442"
"БУРГАС","БУРГАС","С.МАРИНКА","1035","1173"
"БУРГАС","БУРГАС","С.МИРОЛЮБОВО","79","116"
"БУРГАС","БУРГАС","С.РАВНЕЦ","1583","1623"
"БУРГАС","БУРГАС","С.ТВЪРДИЦА","433","469"
"БУРГАС","СРЕДЕЦ","С.БЕЛЕВРЕН","9","14"
"БУРГАС","СРЕДЕЦ","С.БЕЛИЛА","8","52"
"БУРГАС","СРЕДЕЦ","С.БИСТРЕЦ","38","145"
"БУРГАС","СРЕДЕЦ","С.БОГДАНОВО","24","63"
"БУРГАС","СРЕДЕЦ","С.ВАРОВНИК","4","10"
"БУРГАС","СРЕДЕЦ","С.ГОЛЯМО БУКОВО","26","125"
"БУРГАС","СРЕДЕЦ","С.ГОРНО ЯБЪЛКОВО","8","35"
"БУРГАС","СРЕДЕЦ","С.ГРАНИТЕЦ","11","15"
"БУРГАС","СРЕДЕЦ","С.ГРАНИЧАР","3","22"
"БУРГАС","СРЕДЕЦ","ГР.СРЕДЕЦ","9137","8819"
"БУРГАС","СРЕДЕЦ","С.ДЕБЕЛТ","1833","2034"
"БУРГАС","СРЕДЕЦ","С.ДОЛНО ЯБЪЛКОВО","10","35"
"БУРГАС","СРЕДЕЦ","С.ДРАКА","29","67"
"БУРГАС","СРЕДЕЦ","С.ДРАЧЕВО","398","644"
"БУРГАС","СРЕДЕЦ","С.ДЮЛЕВО","188","434"
